,theta,phi,xoff,yoff,zpush,xshear,yshear,Bx00,Bz00,Bx01,Bz01,Bx10,Bz10,Bx11,Bz11,Temp0,Temp1,Fx,Fy,Fz,Tx,Ty,Tz,X,Y,Z,U,V,W
0,0.0755,4.188790204786391,0.0,0.0,0.5666666666666667,0.0,0.6,6.309541748473936,11.685922346739645,-6.5192772082570025,13.801963202104746,-6.458104365820275,12.418731577388625,6.842619375422564,14.257258877951745,755.0,754.0,0.0093999999999999,0.0104999999999999,0.0052,-0.1042999999999999,0.0212,0.029,-0.860721727973,-2.20886001574,-1.2371421885,-3.7453828153,2.16137229066,2.29156072816e-06
1,0.0755,4.188790204786391,0.0,0.0,0.2833333333333333,0.0,0.6,6.305811251253722,11.670345909851562,-6.528523421484982,13.789469248105338,-6.454286031407896,12.407055454847763,6.834206792390634,14.24016214622066,754.0,754.0,0.0076,0.0104,0.0048,-0.0748,0.0333,0.0283999999999999,-3.88628840997e-06,-2.30458726293e-05,0.28333603739,-3.7453910039,2.16138573018,1.44250371488e-05
2,0.001,2.0943951023931957,0.0,0.0,0.0666666666666666,0.0,0.0,6.763968578003914,12.26263020281251,-6.995551481514384,14.508755536991039,-6.868836307895448,12.895707999704529,7.305785182443504,14.794941390380583,755.0,755.0,0.0639,0.0180999999999999,-0.6706000000000001,-0.4004,2.2265,0.0229,-0.035091782815,0.0606221143002,0.0667111351226,0.049618408472,0.0286613445405,2.57634502381e-05
3,0.001,3.665191429188092,0.0,0.0,-0.1,0.6,0.0,6.340128169692299,11.716275391796112,-6.545494140729886,13.849660844336336,-6.453734877074794,12.44041232385753,6.846988864168045,14.261595027245527,755.0,754.0,0.0027,0.003,0.0059,-0.0143,0.014,0.0271,0.539391542446,-0.034930669885,-0.099959596654,-0.0286441264627,0.0496113406368,-2.52156994711e-06
4,0.001,3.665191429188092,0.0,0.0,0.4,0.6,0.6,9.101645056836016,10.718961054226494,-7.458717288535324,17.00204138091508,-9.477421088947345,21.26881228599553,12.53606321078374,18.103423301535443,755.0,755.0,-0.3423,-0.3442999999999999,-3.4371,14.1478,-15.9355,0.0778,0.53902909438,0.564754920142,0.400048154398,-0.0286156675044,0.0495980316436,-4.467828555e-05
5,0.001,0.5235987755982988,0.0,0.0,-0.1,-0.6,0.6,6.361975613419702,11.681586197445863,-6.532385674493444,13.884350038686584,-6.479951809547678,12.527135309733149,6.8994227291138115,14.287611923008212,755.0,754.0,0.0013999999999999,-0.0007,0.006,-0.0325,0.0516,0.0332,-0.539558172341,0.634961775095,-0.0999524494861,0.0286435572292,-0.0496224445907,-2.78868558805e-05
6,0.001,0.5235987755982988,0.0,0.0,-0.05,-0.6,0.6,6.361975613419702,11.672913898858303,-6.532385674493444,13.87134159080524,-6.471212832056716,12.501118413970463,6.9037922178592925,14.270267325833087,755.0,754.0,0.0033,0.0008,0.0085,-0.0376,0.0118,0.0287,-8.9009346506e-05,-0.000273994208422,-0.0499497319155,0.0286395236518,-0.0494728859212,0.000201333080483
7,0.001,0.0,0.0,0.0,0.9,-0.6,-0.6,15.039931719698249,33.16079112714355,-21.563064895799933,21.871457290583624,-12.748965376348865,9.037541268852546,9.797815983675516,20.791117503764475,756.0,755.0,0.7905,0.7704000000000002,-8.523,-33.037400000000005,29.899700000000003,-0.258,-0.529250507709,-0.599960982095,0.90003475703,-8.95276970902e-06,-0.0572860789036,6.88502101766e-06
8,0.001,4.188790204786391,0.0,0.0,-0.1,0.0,0.0,6.370714590910663,11.776981481909045,-6.58045005069373,13.880013889392803,-6.440626410838353,12.4013869802135,6.8120329542042,14.23991428077662,755.0,754.0,0.0016,0.0014,0.0066999999999999,-0.043,0.0276,0.0235,-0.0350271139712,-0.060528393194,-0.0999598015748,-0.0496208102917,0.0286466663507,-7.93669481966e-06
9,0.0755,4.188790204786391,0.0,0.0,0.9,0.6,-0.6,9.918739452240882,23.380516992066852,-15.315058052909379,12.665892087134138,-17.1764602584841,14.634503866510688,12.426825992146727,33.41436645787596,755.0,755.0,-0.1576999999999999,0.9674,-7.9733,-43.805400000000006,-15.1679,-0.8369,-2.27325225262,-5.43063213479,1.09429500397,-3.74539143056,2.16137552442,-3.1425380836e-06
10,0.001,2.0943951023931957,0.0,0.0,0.7333333333333333,0.0,-0.6,9.338748300370773,25.338089779212133,-15.354720988250072,14.447917630954864,-14.082447694519784,12.109350783181688,9.395585251637074,29.650771498482143,756.0,756.0,0.0539,0.7109,-5.862299999999999,-32.6148,-1.5799,-0.3166,-0.0654148818779,-0.622272217182,0.724898136216,0.0496145587361,0.0286413564976,1.55802474613e-05
11,0.001,0.0,0.0,0.0,-0.1,0.6,-0.6,6.3488671471832605,11.781317631202826,-6.593558516930172,13.81930779927987,-6.493060275784119,12.418731577388625,6.855727841659006,14.37433490888383,755.0,754.0,0.0025,0.0021999999999999,0.0097,-0.0444,0.0095,0.0304,0.669874819132,-0.60006950912,-0.0999664554084,-2.17287301635e-06,-0.0573032952287,3.76380630234e-06
12,0.001,0.0,0.0,0.0,-0.05,0.6,-0.6,6.34449765843778,11.781317631202826,-6.57171107320277,13.801963202104746,-6.484321298293158,12.418731577388625,6.864466819149967,14.348318013121144,755.0,755.0,0.0039,0.0002,0.009,-0.0586,0.0105999999999999,0.0343,-6.73722010336e-06,-1.02514681874e-05,-0.050004274151,9.1395337954e-06,-0.0572985489073,2.87985090456e-06
13,0.001,0.0,0.0,0.0,0.5666666666666667,-0.6,-0.6,10.593533301403738,26.895688106393152,-15.477139037131337,18.84303491628738,-10.235023301108605,9.65797737132298,7.6729884209507055,18.543663650060385,756.0,755.0,0.6370000000000001,0.5609,-4.4084,-23.0693,24.3265,-0.1572,-0.529492576947,-0.600006952026,0.566705073638,9.8236438579e-07,-0.057292954718,3.87316265322e-06
