,theta,phi,xoff,yoff,zpush,xshear,yshear,Bx00,Bz00,Bx01,Bz01,Bx10,Bz10,Bx11,Bz11,Temp0,Temp1,Fx,Fy,Fz,Tx,Ty,Tz,X,Y,Z,U,V,W
0,0.001,2.0943951023931957,0.0,0.0,0.175,0.0,0.6,6.789833916253097,11.540548381618683,-6.100820695170304,14.892546778118618,-5.852706679249475,12.681587563711057,7.203015542004177,13.07995290891135,743.0,744.0,0.0177,-0.0024,-0.0678999999999999,0.0079,-0.0859,-0.1042999999999999,1.96485655393,2.66072373919,-1.82496348822,0.0496180748864,0.0286512510378,-6.47633164718e-06
1,0.001,2.0943951023931957,0.0,0.0,0.0875,0.0,0.6,7.22363151346147,13.257794857038059,-7.211594804214384,15.655278087523937,-6.372771070770095,12.120420183644486,7.202978800864067,13.613285293499075,744.0,745.0,0.1886,0.1776,-0.7561999999999999,-8.084200000000001,6.9489,-0.2889,2.87322328422e-05,-1.86371060918e-06,0.0875043678941,0.0496157890967,0.0286399303186,2.60366013354e-05
2,0.001,3.141592653589793,0.0,0.0,0.175,0.6,0.6,7.948599339632183,9.741483843874724,-5.281610053743629,16.52118642423068,-6.216490581296169,17.655354185846033,9.994563886366409,13.759757350454445,744.0,744.0,-0.3395,-0.4160999999999999,-1.4978,17.1318,-16.731399999999997,0.3077,0.529884225048,0.600178929958,0.175005967126,-6.76692724146e-06,0.0571824924894,-0.000151110138779
3,0.001,0.0,0.0,0.0,0.175,-0.6,0.0,8.334358436499809,13.80527253771077,-7.629254955428214,18.186214972758904,-6.13037400873203,12.169638424977597,7.6464767499099935,12.343721194815288,743.0,744.0,0.4237,0.0053,-1.2864999999999998,-0.8048999999999997,16.5824,-0.3460999999999999,-0.52975162666,0.00015589215411,0.175003779795,3.05943317892e-06,-0.0574011067593,-0.000146582744094
4,0.001,0.0,0.0,0.0,0.0875,-0.6,0.0,7.024115725504003,11.275896708205623,-6.2385950510245385,14.98296119914796,-6.507828034747377,14.013523034822686,8.094243406436254,14.225202241949672,743.0,744.0,-0.2074,-0.0419999999999999,-0.66,1.0719,-9.3692,0.0482999999999999,-6.04979904951e-06,-2.54511596637e-05,0.0874999665132,-1.19307489026e-05,-0.057297884461,-2.877320234e-05
5,0.001,3.141592653589793,0.0,0.0,1.0,0.6,0.6,12.7498832662478,5.205008524423259,-4.441549727087831,24.486681521597703,-8.703955038756158,33.387590126221255,21.436616335585885,13.522817258320758,744.0,745.0,-0.4453999999999999,-0.5690999999999999,-8.0188,19.3731,-28.6229,0.6307,0.528927203336,0.600006981439,1.00002539332,6.04218292228e-06,0.0572770689417,-2.56068587159e-05
6,0.001,0.0,0.0,0.0,0.175,0.6,0.0,7.149933734175786,10.71622349721735,-6.307482228951655,14.39311473814702,-7.466648031866825,16.022272621548044,9.291158122919914,16.205708607354286,743.0,744.0,-0.4032,-0.0199999999999999,-1.2017,-0.0399999999999999,-18.4158,0.0807,0.670104354215,-2.5060091653e-05,0.175034113572,-3.25616689717e-06,-0.0572957172102,-4.22255604683e-07
7,0.0355,2.0943951023931957,0.0,0.0,-0.1,0.6,0.0,6.793860167408174,11.317312112736811,-6.026894343545951,14.767829742441402,-5.921294101178753,13.053761995780434,7.401146877921333,13.324649181263494,744.0,744.0,0.0193999999999999,-0.0057,-0.0681,0.0375,-0.0632,-0.1245,-0.684641769375,2.10444802255,-0.0557732571102,1.76140510068,1.01683627039,-6.95181251108e-06
8,0.0355,2.0943951023931957,0.0,0.0,-0.05,0.6,0.0,6.802542416823392,11.365064484520511,-6.044126350246583,14.767829742441402,-5.956023098839625,13.07112649461087,7.42699488797228,13.39357720806602,744.0,744.0,0.0121999999999999,0.0045,-0.1225,-0.6194999999999999,-0.3182999999999999,-0.142,-2.04277551758e-05,2.42274634186e-06,-0.0499909956665,1.761408585,1.01684677611,2.43518844454e-05
9,0.001,4.188790204786391,0.0,0.0,0.7250000000000001,0.6,-0.6,7.853094596064784,15.957974425170892,-11.592832507850003,11.390356429117581,-15.701848067421958,17.07364347502642,12.217492750747905,32.81835676135315,744.0,745.0,-0.4616,0.4043,-5.2388,-23.5891,-25.172400000000003,-0.3503,0.564607326101,-0.661283793694,0.725028114452,-0.0496207020783,0.0286393441312,-1.128073413e-05
